prediction_gw,target_gw,algorithm,formation,predicted_points,actual_points,actual_points_no_captaincy,avg_fpl_points,captain,captain_points,prediction_diff,prediction_diff_pct,prediction_accuracy,avg_player_diff,std_player_diff,points_vs_avg,pct_vs_avg
1,2,DeepLearning,3-5-2,42.91069984436035,85,75,69,Mohamed Salah,20,-32.08930015563965,74.78158191786532,57.21426645914713,2.91720910505815,5.455274200374761,16,23.188405797101442
1,2,DeepLearning,3-5-2,42.91069984436035,85,75,69,Mohamed Salah,20,-32.08930015563965,74.78158191786532,57.21426645914713,2.91720910505815,5.455274200374761,16,23.188405797101442
1,2,GBReg,4-4-2,49.004067834014734,87,81,69,Pedro Porro,12,-31.995932165985266,65.29240036635535,60.49884917779597,2.9087211059986604,5.644725256002636,18,26.086956521739136
1,2,GBReg,4-4-2,49.004067834014734,87,81,69,Pedro Porro,12,-31.995932165985266,65.29240036635535,60.49884917779597,2.9087211059986604,5.644725256002636,18,26.086956521739136
1,2,LSTM,5-2-3,47.268993854522705,53,47,69,Bukayo Saka,12,0.2689938545227051,-0.5690704044824302,99.42767264995169,-0.02445398677479137,3.278623821660851,-16,-23.188405797101453
1,2,LSTM,5-2-3,47.268993854522705,53,47,69,Bukayo Saka,12,0.2689938545227051,-0.5690704044824302,99.42767264995169,-0.02445398677479137,3.278623821660851,-16,-23.188405797101453
1,2,RFReg,3-4-3,46.71403200887161,70,68,69,Alexander Isak,4,-21.285967991128388,45.56653980775176,68.69710589539943,1.9350879991934902,4.469189452591921,1,1.449275362318847
1,2,RFReg,3-4-3,46.71403200887161,70,68,69,Alexander Isak,4,-21.285967991128388,45.56653980775176,68.69710589539943,1.9350879991934902,4.469189452591921,1,1.449275362318847
1,2,Ridge,3-4-3,39.07208618354327,80,70,69,Mohamed Salah,20,-30.92791381645673,79.15603398080961,55.81726597649039,2.8116285287687934,5.600739694644633,11,15.94202898550725
1,2,Ridge,3-4-3,39.07208618354327,80,70,69,Mohamed Salah,20,-30.92791381645673,79.15603398080961,55.81726597649039,2.8116285287687934,5.600739694644633,11,15.94202898550725
1,2,XGBoost,3-5-2,49.865541219711304,83,77,69,Bukayo Saka,12,-27.134458780288696,54.41524972271381,64.76044314248222,2.466768980026245,5.615206847572996,14,20.28985507246377
1,2,XGBoost,3-5-2,49.865541219711304,83,77,69,Bukayo Saka,12,-27.134458780288696,54.41524972271381,64.76044314248222,2.466768980026245,5.615206847572996,14,20.28985507246377
2,3,DeepLearning,5-3-2,45.76409864425659,73,56,64,Mohamed Salah,34,-10.235901355743408,22.36666220679082,81.72160472188676,0.9305364868857644,4.086112808255605,9,14.0625
2,3,DeepLearning,5-3-2,45.76409864425659,73,56,64,Mohamed Salah,34,-10.235901355743408,22.36666220679082,81.72160472188676,0.9305364868857644,4.086112808255605,9,14.0625
