model,gameweek,target_gameweek,position,kendall_tau,ndcg,player_count,p_value
DeepLearning,1,2,GK,0.5419099180734726,0.8319063793343491,66,1.9115933796715517e-08
DeepLearning,1,2,DEF,0.518592026321451,0.8778161536018181,203,3.8411223766852354e-22
DeepLearning,1,2,MID,0.6028456881627658,0.8348824193692838,276,8.232339104173621e-41
DeepLearning,1,2,FWD,0.6942306379466171,0.8845109711918886,71,4.304141935347693e-14
DeepLearning,1,2,ALL,0.5782094258058158,0.9227672364846068,616,1.220324089549519e-80
DeepLearning,2,3,GK,0.43735762761687724,0.7102186861311677,67,4.961178543083344e-06
DeepLearning,2,3,DEF,0.573852608724266,0.8578115540897941,205,1.867747763413955e-26
DeepLearning,2,3,MID,0.5713336058635018,0.9053354193311335,283,3.300177424838515e-37
DeepLearning,2,3,FWD,0.6843051893492448,0.8998489966158522,72,4.052446842069585e-14
DeepLearning,2,3,ALL,0.5679055521804628,0.9294510312026008,627,2.57674882716823e-78
DeepLearning,3,4,GK,0.508494834175947,0.6952031141413851,69,7.377867050918722e-08
DeepLearning,3,4,DEF,0.5219864657332846,0.8197552722679351,210,4.23744966398945e-23
DeepLearning,3,4,MID,0.5214322700193308,0.7438046166170997,296,1.9171793939067333e-32
DeepLearning,3,4,FWD,0.49271151054917145,0.825357224042605,73,4.524170807780009e-08
DeepLearning,3,4,ALL,0.5321651128841406,0.8840019059059708,648,1.3735319232865938e-71
DeepLearning,4,5,GK,0.5164537374889444,0.7147419672301616,69,4.750589178938558e-08
DeepLearning,4,5,DEF,0.5605792663667396,0.745715312875296,215,1.5764130691886454e-26
DeepLearning,4,5,MID,0.543768024533324,0.8914990006205591,302,5.9587009638413894e-36
DeepLearning,4,5,FWD,0.6266875126077833,0.8333439499466346,73,2.628126531490853e-12
DeepLearning,4,5,ALL,0.5607180828919092,0.910342552211057,659,3.174707276908281e-80
DeepLearning,5,6,GK,0.5910605275238175,0.7505549065139311,70,4.999752683889898e-10
DeepLearning,5,6,DEF,0.4381350578337716,0.7453262429648908,215,9.7272823482161e-17
DeepLearning,5,6,MID,0.6209328284559121,0.8875747779578554,303,2.3108797707816763e-46
DeepLearning,5,6,FWD,0.6101847269531645,0.7028650835697652,73,1.3756875704074952e-11
DeepLearning,5,6,ALL,0.5607332685317812,0.8828453548844455,661,7.374996712815645e-80
DeepLearning,6,7,GK,0.5351501790139727,0.6838663509747075,70,1.2985503183284496e-08
DeepLearning,6,7,DEF,0.48307024617270616,0.7861771007240226,218,1.315778868708521e-20
DeepLearning,6,7,MID,0.5792704628805134,0.8888676511321869,303,5.3717550209407e-41
