model,position,kendall_tau,ndcg,valid_gameweeks
DeepLearning,GK,0.527040070073123,0.7437802800877706,28
DeepLearning,DEF,0.49508761010376634,0.8271139817734182,28
DeepLearning,MID,0.5727641147858963,0.8211239552253039,28
DeepLearning,FWD,0.5924853548504238,0.7379782477347774,28
DeepLearning,ALL,0.5473078299189339,0.8753528385949175,28
GBReg,GK,0.5346473028391849,0.7523336451668973,29
GBReg,DEF,0.5019292488777283,0.8184922260863974,29
GBReg,MID,0.5835192038557865,0.8227373319845922,29
GBReg,FWD,0.6092032018869808,0.7583584054418605,29
GBReg,ALL,0.5608557404360984,0.8775609199409202,29
LSTM,GK,0.5212794813077588,0.7522743570100145,29
LSTM,DEF,0.4841577853662943,0.8152776784902932,29
LSTM,MID,0.5656423914408356,0.8208651757346653,29
LSTM,FWD,0.571916369397159,0.7387337594633423,29
LSTM,ALL,0.5406808507257521,0.8758272355651479,29
RFReg,GK,0.5381438551165532,0.7657348961355402,29
RFReg,DEF,0.5074706907524222,0.8204991127882821,29
RFReg,MID,0.5815635917074047,0.8242195524325804,29
RFReg,FWD,0.6109987904276162,0.7534865983309843,29
RFReg,ALL,0.5621120966038634,0.8787136292455415,29
Ridge,GK,0.5327909743479349,0.7577666878178498,29
Ridge,DEF,0.4789936375338585,0.8287081590347174,29
Ridge,MID,0.5719590882727628,0.825363580839978,29
Ridge,FWD,0.5980929464277919,0.7492601592519248,29
Ridge,ALL,0.5474776487194712,0.8783842450809703,29
XGBoost,GK,0.5471427369533651,0.7514797333152209,29
XGBoost,DEF,0.5049253073287375,0.8232001390954579,29
XGBoost,MID,0.5861310622260393,0.8183859676286145,29
XGBoost,FWD,0.605109950596704,0.7503242525657928,29
XGBoost,ALL,0.5614882465294432,0.873873722529721,29
